title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4036,Tomorrow,DRAMA,Llama,THURSDAY,9,33748,9.52,756585,92330,ONGOING,True,"Choi Jun-woong, seorang mahasiswa berumur 27 tahun yang dapat mengerjakan segala hal kecuali mendapatkan pekerjaan malah bertemu dengan malaikat maut secara tidak sengaja.

Setelah mendapatkan pekerjaan di dalam tim manajemen krisis khusus, ia pun ditugaskan untuk membantu orang-orang yang membutuhkan bantuan sebelum mereka mengakhiri hidup mereka sendiri."
4035,For Stella,ROMANTIC_FANTASY,"Nanaso,Hwagi,Suyoon Jin",WEDNESDAY,4,61886,9.45,1524438,158560,ONGOING,True,"Aku yang masuk ke dunia novel kesukaanku, menjadi seorang figuran bernama Dana yang akan mati demi melindungi tokoh utama pria, Arcane. Dana bertekat untuk mengikuti alur cerita demi kembali ke dunianya. 
Tapi apa jadinya kalau Arcane ternyata mengulang waktu dan berniat mengubah masa depan cerita!"
4034,A Spoonful of Your Love,ROMANCE,"STEM,JB,Seokyung",TUESDAY,3,51366,9.12,1446317,95707,ONGOING,True,"Yeonju menyerah pada universitas bergengsi karena cinta, tetapi setelah putus cinta yang hanya meninggalkan bekas luka, dia memperjuangkan hidupnya lagi dan mencoba lowongan kerja di TG Electronics sebagai peserta tertua.

Siapa sangka, direktur dari TG Electronics adalah Jaehyun, teman SMP-nya dulu yang mengenali bahwa Yeonju adalah seorang pembohong? Akankah pencarian kerja Yeonju dapat berjalan lancar kali ini?"
4033,The Vampire Lord's Greatest Wife,ROMANTIC_FANTASY,"Kumokaya,Artelysium Studio",SATURDAY,25,364441,9.78,9965269,914181,ONGOING,False,"Sylvania, seorang putri bangsawan yang menyamar menjadi pelayan rendahan bernama Miria, selalu hidup menderita sejak seluruh keluarganya mati dimakan vampir.Tapi sejak menikah dengan Count Alaric yang misterius dan mengetahui identitas aslinya, hidup Sylvania berubah selamanya. Siapa Alaric yang sebenarnya?"
4032,My Reason to Die,ROMANCE,YUJU,THURSDAY,26,232561,9.8,5020443,548930,ONGOING,False,"Nam Jioh, seorang siswi SMA yang sedang mengalami cedera tahu dia harus waspada pada Cha Gyeol, seorang berandalan dengan penampilan tampan dan menawan. Meskipun begitu, hati Jioh tidak bisa berhenti memikirkan Cha Gyeol... 

""bolehkah aku menyukainya?"""
4031,Return of the Mad Demon,ACTION,"JP,Ihy,Yu jin sung",TUESDAY,26,96949,9.84,2262373,212766,ONGOING,False,"Jika kembali ke masa lalu sebelum orang gila menjadi gila.
Apakah kehidupan selanjutnya akan menjadi orang gila lagi?
"
4030,Reality Quest,ACTION,"Joowoon Lee,Taesung",SATURDAY,27,172175,9.63,4348992,343860,ONGOING,False,"Dowan yang selama ini dirundung untuk jadi Joki Game, meninggal karena kebanyakan main game?!
Tapi dia kembali hidup dan tiba-tiba muncul quest di depannya! Dan questnya benar-benar terasa nyata!"
4029,The Prenup,ROMANCE,"Siwon,FLADA,ANN",MONDAY,29,208786,9.0,4565354,291611,ONGOING,False,"Demi mendapatkan investasi untuk perusahaannya, Woo Seunghee terpaksa setuju menikah kontrak dengan sang investor. Meski tampan, tetapi Seunghee tidak rela dan mengajukan perjanjian pranikah. Mengapa si investor begitu tertarik padanya?"
3943,Perhaps Mine,ROMANCE,"Cikakey,Candrasa",MONDAY,29,137527,9.58,3312072,371323,ONGOING,False,"Mine yang baru saja dipecat karena suatu insiden, justru mendadak bekerja dengan gaji yang lebih besar. Tapi…..sebagai pengurus bayi dari si duda ganteng yang iseng!"
3942,Gemini Duos,DRAMA,Hamstavin,SUNDAY,29,51310,9.62,1275498,202269,ONGOING,False,"Seorang gadis bernama Alvin mengalami penyakit kepribadian ganda selama 9 tahun dan berkali-kali memicunya untuk melakukan bunuh diri. Namun pada suatu hari, pasca kecelakaan di dekat sekolah, dia malah mendapati seorang anak laki-laki yang sangat mirip dengannya harus tinggal dengannya. Siapakah si anak laki-laki itu?"
3941,SWEET CHAOS,SLICE_OF_LIFE,Fadee~,"TUESDAY,FRIDAY",55,45940,9.77,1813329,351646,ONGOING,False,Setiap hari penuh kekacauan di SMA 21 Atap~ Tapi tenang ada para guru yang siap membereskan murid-murid. Ini lah hari-hari manis dan pahit Miss Shinna di sekolah!
3940,Love and Leashes,ROMANCE,Winter,WEDNESDAY,6,42457,8.67,1435174,154992,ONGOING,True,"Kisah romantis yang telah diadaptasi jadi film ""Love and Leashes""! Jihoo, adalah seorang pria yang memiliki selera ""agak berbeda"" dari kebanyakan. Dia ingin dimiliki oleh seseorang dan menemukan sosok ""tuan"" pada diri Jiwoo, wanita yang terlihat dingin namun diam-diam menyukainya. Apakah hubungan yang dimulai dari kesalahpahaman ini bisa berjalan lancar?"
3939,Doll & I,DRAMA,"CHAEYUN SONG,ENRY",TUESDAY,29,175761,9.75,5339124,609274,ONGOING,False,"Cha Yoo Joo, seorang produser grup idola yang dipenjara karena tuduhan memanipulasi suara voting dalam pemilihan anggota grup 'Lily'. Padahal itu semua tuduhan palsu oleh suaminya. Cha Yoo Joo pun dipenjara dengan niat untuk membalas dendam pada suaminya, tapi di penjara dia bertemu dengan gadis bersuara emas dan memiliki karisma, Eun Ha Rin! Dari sinilah Cha Yoo Joo akan mendebutkan narapidana sebagai idola yang sukses!"
3938,Dedes,ROMANTIC_FANTASY,egestigi,MONDAY,30,475360,9.85,13651189,1450122,ONGOING,False,"Isekai yang diangkat dari kisah sejarah Indonesia! Seorang mahasiswi tiba-tiba terbangun di tubuh Dedes, seorang gadis yang kelak akan menjadi ibu bagi para raja di tanah Jawa. Tetapi, semakin lama berada dalam tubuh Dedes, dia menyadari bahwa sejarah yang ada tak sepenuhnya benar."
